name,stage,calls,cpu_time_total_us,cuda_time_total_us,self_cpu_time_total_us,self_cuda_time_total_us,run_name
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",,72,0,516.6070000000036,0,516.6070000000036,small_ctx256_train_step_fp32
aten::arange,,52,736.9560000000411,53.760000000005675,225.95799999999963,26.880000000002838,small_ctx256_train_step_fp32
aten::empty,,350,815.641000000066,0,815.641000000066,0,small_ctx256_train_step_fp32
aten::resize_,,74,174.57899999996334,0,174.57899999996334,0,small_ctx256_train_step_fp32
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",,26,0,26.880000000002838,0,26.880000000002838,small_ctx256_train_step_fp32
aten::ge,,24,277.8650000000034,68.8970000000345,179.68200000002798,68.8970000000345,small_ctx256_train_step_fp32
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::CompareFunctor<long> >(at::TensorIteratorBase&, at::native::(anonymous namespace)::CompareFunctor<long> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::CompareFunctor<long> >(at::TensorIteratorBase&, at::native::(anonymous namespace)::CompareFunctor<long> const&)::{lambda(int)#1})",,24,0,68.8970000000345,0,68.8970000000345,small_ctx256_train_step_fp32
attention/scores,attention/scores,24,3357.622999999987,341.47500000001855,1361.0070000000196,0.0,small_ctx256_train_step_fp32
cudaDeviceGetAttribute,,264,67.43899999995392,0,67.43899999995392,0,small_ctx256_train_step_fp32
cuLaunchKernel,,264,838.4949999999199,0,838.4949999999199,0,small_ctx256_train_step_fp32
attention/scores,attention/scores,24,0,895.5540000000083,0,895.5540000000083,small_ctx256_train_step_fp32
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x64_16x6_tn_align4>(cutlass_80_tensorop_s1688gemm_128x64_16x6_tn_align4::Params),,48,0,417.6979999999603,0,417.6979999999603,small_ctx256_train_step_fp32
aten::div,,420,3229.4420000000537,2536.9230000000725,1968.6580000005042,2536.9230000000725,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",,48,0,275.0700000000197,0,275.0700000000197,small_ctx256_train_step_fp32
attention/softmax,attention/softmax,24,3550.5409999999856,1331.907999999934,1079.505999999912,0.0,small_ctx256_train_step_fp32
aten::where,,96,2589.5559999999923,1043.963000000006,684.260999999995,493.7890000000216,small_ctx256_train_step_fp32
aten::scalar_tensor,,48,663.2380000000112,56.38499999996293,196.8090000000475,0.0,small_ctx256_train_step_fp32
aten::fill_,,524,2400.1319999999887,1193.826999999831,968.6840000003094,1193.826999999831,small_ctx256_train_step_fp32
attention/softmax,attention/softmax,24,0,2785.7319999999836,0,2785.7319999999836,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",,524,0,1193.826999999831,0,1193.826999999831,small_ctx256_train_step_fp32
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool, float, float)#1} const&)::{lambda(int)#1})",,48,0,493.7890000000216,0,493.7890000000216,small_ctx256_train_step_fp32
aten::max,,26,442.53500000002896,302.1169999999611,337.46700000002056,302.1169999999611,small_ctx256_train_step_fp32
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, 4, 4>)",,26,0,302.1169999999611,0,302.1169999999611,small_ctx256_train_step_fp32
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",,52,0,596.6699999999755,0,596.6699999999755,small_ctx256_train_step_fp32
aten::exp,,26,296.09100000000126,177.37600000003567,203.09899999999925,177.37600000003567,small_ctx256_train_step_fp32
