config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status
medium_ctx1024_blocknone,medium,24,1024,1,bf16_autocast_fp32_params,,False,3,5,"[140.02073669433594, 140.08831787109375, 148.231201171875, 139.73094177246094, 141.78909301757812]",140.08831787109375,10046.1259765625,10204.0,success
medium_ctx1024_block1,medium,24,1024,1,bf16_autocast_fp32_params,1,False,3,5,"[224.0, 214.49420166015625, 302.2827453613281, 212.16546630859375, 225.65171813964844]",224.0,8096.53564453125,8162.0,success
medium_ctx1024_block2,medium,24,1024,1,bf16_autocast_fp32_params,2,False,3,5,"[197.00863647460938, 196.40115356445312, 309.5132751464844, 199.7136993408203, 199.3931884765625]",199.3931884765625,8096.53564453125,8166.0,success
medium_ctx1024_block4,medium,24,1024,1,bf16_autocast_fp32_params,4,False,3,5,"[190.50393676757812, 192.34201049804688, 286.75482177734375, 190.81216430664062, 196.6624298095703]",192.34201049804688,8096.53564453125,8152.0,success
medium_ctx1024_block8,medium,24,1024,1,bf16_autocast_fp32_params,8,False,3,5,"[194.2599639892578, 341.88800048828125, 196.65017700195312, 195.48477172851562, 196.3111114501953]",196.3111114501953,8096.53564453125,8182.0,success
medium_ctx2048_blocknone,medium,24,2048,1,bf16_autocast_fp32_params,,False,3,5,"[388.9195251464844, 388.8476257324219, 388.79949951171875, 388.8404541015625, 388.88958740234375]",388.8476257324219,19623.6689453125,19936.0,success
medium_ctx2048_block1,medium,24,2048,1,bf16_autocast_fp32_params,1,False,3,5,"[495.2913818359375, 494.7200012207031, 585.682861328125, 494.7721252441406, 495.0466613769531]",495.0466613769531,8094.92626953125,9398.0,success
